Time,FWL,e_FWL,FWB01,e_FWB01,FWB02,e_FWB02,FWB03,e_FWB03,FWB04,e_FWB04,FWB05,e_FWB05,FWB06,e_FWB06,FWB07,e_FWB07,FWB08,e_FWB08,FWB09,e_FWB09,FWB10,e_FWB10,FWB11,e_FWB11,FWB12,e_FWB12,FWB13,e_FWB13,FWB14,e_FWB14,FWB15,e_FWB15,FWB16,e_FWB16,FWB17,e_FWB17,FWB18,e_FWB18,FWB19,e_FWB19,FWB21,e_FWB21,FWB22,e_FWB22,FWB23,e_FWB23,FWB24,e_FWB24,FWB25,e_FWB25,FWB26,e_FWB26
0.030323999999382067,0.993940927,0.000204213,0.991261576,0.001001291,0.994958416,0.000948398,0.994080199,0.00079374,0.994731801,0.000780461,0.993978245,0.000812295,0.99401805,0.000779443,0.993505489,0.00078508,0.993730015,0.00076403,0.99227906,0.001689232,0.992262482,0.001737283,0.992092941,0.001710995,0.986684701,0.000818481,0.994810823,0.000875466,0.99443469,0.000886524,0.994455698,0.000894281,0.993703335,0.000921639,0.994655712,0.001019908,0.990994983,0.001079115,0.990815116,0.001229129,0.995414345,0.001333776,0.994510408,0.001453068,0.992498651,0.001688016,0.992151713,0.001750488,0.99221894,0.001939171,0.990840362,0.002192028
0.03334500000346452,0.992054352,0.000203567,0.989250584,0.00100714,0.994789021,0.000935354,0.99247166,0.000791075,0.993717098,0.00077822,0.993929319,0.000811062,0.993429241,0.000778136,0.992241264,0.00078323,0.987427108,0.000758158,0.996899078,0.00169205,0.992922232,0.001733592,0.992907174,0.00170911,0.990916431,0.000821181,0.992876838,0.000872624,0.98983858,0.000882665,0.991754731,0.000892495,0.987643995,0.00091699,0.992781255,0.001017122,0.990284843,0.001077132,0.988766736,0.001224658,0.98805953,0.001305185,0.992061766,0.001468267,0.991318317,0.001655572,0.991518129,0.001763631,0.988910961,0.001927268,0.989340294,0.002153939
0.036378000004333444,0.990639913,0.000202974,0.988876364,0.001006691,0.991789114,0.000933241,0.992059054,0.000790595,0.991704868,0.000777189,0.993881295,0.000800725,0.99329,0.000787771,0.987933701,0.000779469,0.991198867,0.000752552,0.989230997,0.001683211,0.990359278,0.00172749,0.994360483,0.001708435,0.988649592,0.000829289,0.989207042,0.000869069,0.990015865,0.000870059,0.991624369,0.000903386,0.98690732,0.000915286,0.989771343,0.001012576,0.98736668,0.001071481,0.987433885,0.001218231,0.989794366,0.001301114,0.987981874,0.001453426,0.990464365,0.001668621,0.982541727,0.001734225,0.994102131,0.001913743,0.982906611,0.002099541
0.03941000000486383,0.989029308,0.000202158,0.986527446,0.000988942,0.991430373,0.000940021,0.990354955,0.00078779,0.989636208,0.00077452,0.98943605,0.000806493,0.990153555,0.000774711,0.98969739,0.000779791,0.987735578,0.000757281,0.986450521,0.001670541,0.989077271,0.001723432,0.989998301,0.001698457,0.988658919,0.000816566,0.987435717,0.000864957,0.98854213,0.000878025,0.988352144,0.000886126,0.9886671,0.000913638,0.989834262,0.00101068,0.98630106,0.001068628,0.985910651,0.001213749,0.986441753,0.001312583,0.986949203,0.001430367,0.987849705,0.001662473,0.989117,0.001724709,0.986941542,0.001908241,0.985026632,0.002152516
0.04244199999811826,0.988705143,0.000201604,0.985155221,0.000997678,0.989886483,0.00092748,0.988788699,0.000785959,0.989796772,0.00077389,0.992929222,0.000796971,0.987088932,0.000781791,0.990322182,0.000779474,0.987398988,0.000747711,0.987480034,0.001674748,0.990408075,0.001720793,0.987624221,0.001694392,0.989256021,0.000825522,0.989304166,0.000864987,0.988452593,0.000865225,0.986721502,0.00089665,0.986926054,0.000911014,0.985603759,0.001004292,0.987396304,0.001065314,0.985457178,0.001207235,0.986961336,0.001286989,0.987381017,0.00144017,0.991012546,0.001650336,0.98281888,0.001719098,0.991701792,0.001892412,0.982358905,0.002064642
0.04547499999898719,0.987759094,0.000201486,0.984626512,0.000995407,0.982742149,0.000923804,0.986847417,0.000784065,0.989627641,0.000773046,0.989075199,0.000805359,0.988039459,0.000772277,0.987823844,0.000777563,0.988613184,0.000756568,0.991309757,0.001675616,0.991854705,0.001720783,0.992142181,0.001696756,0.987906961,0.000814053,0.987739834,0.0008635,0.988306726,0.000876366,0.988459586,0.000885066,0.986482277,0.000910744,0.987118472,0.001005647,0.985824455,0.001065734,0.984358362,0.001207959,0.986228461,0.001287504,0.987296782,0.001443588,0.982979436,0.001622959,0.985123389,0.001732589,0.988590283,0.001899106,0.978064107,0.002093988
0.048506999999517575,0.98799175,0.000201477,0.985866728,0.000993669,0.990883865,0.000926152,0.988295217,0.000784426,0.987564826,0.000771683,0.988238823,0.000804723,0.987804637,0.000772396,0.986454017,0.000777037,0.988404765,0.000756235,0.987844037,0.001669538,0.988982768,0.001717298,0.986169691,0.001689432,0.987790367,0.000813959,0.987376205,0.00086333,0.986769475,0.000876177,0.987311218,0.000884968,0.984230398,0.000909313,0.987150613,0.001005349,0.988131606,0.001067294,0.985940935,0.001208012,0.988983042,0.001291483,0.9862206,0.00144277,0.986958899,0.001626069,0.989220542,0.001738069,0.989005537,0.00189854,0.991226293,0.002117045
0.05153900000004796,0.987706482,0.000201207,0.982183464,0.000990982,0.98767788,0.00092431,0.987903364,0.000783626,0.987350386,0.00077101,0.988886657,0.000803824,0.987712832,0.000771495,0.989188976,0.000777583,0.986652342,0.000754994,0.988268944,0.00166979,0.989966762,0.001720592,0.982737546,0.00168434,0.98853494,0.000813112,0.987449376,0.000862605,0.986153019,0.000874448,0.986334339,0.000884141,0.987329786,0.000910129,0.985979337,0.001003671,0.986124886,0.001064323,0.993140332,0.001211008,0.987458508,0.001285837,0.988744942,0.00144152,0.987106396,0.001621224,0.98612882,0.001730259,0.988429184,0.001897508,0.98302715,0.002103321
0.054560000004130416,0.9868707,0.00020093,0.986379117,0.00099139,0.986224813,0.000921625,0.984774038,0.000780287,0.987402023,0.000770046,0.98782452,0.000803578,0.986736296,0.000770642,0.986408571,0.000775588,0.98617281,0.000745724,0.985590396,0.001667438,0.985829649,0.00171422,0.984445985,0.001789024,0.986546625,0.000812063,0.986156398,0.000861446,0.986263362,0.000862692,0.987699824,0.00088525,0.987695273,0.0009236,0.985902274,0.001002918,0.987335673,0.001064126,0.986233815,0.001204477,0.984272726,0.001283921,0.987573404,0.001440101,0.987545611,0.001617411,0.989864787,0.001731127,0.987460882,0.001894213,0.98461003,0.002106769
0.05759300000499934,0.986427751,0.000200632,0.986324563,0.000977316,0.98641894,0.000929373,0.987527808,0.000780608,0.986677244,0.000768018,0.987416538,0.000790898,0.984680284,0.000777101,0.98656478,0.000774083,0.985893306,0.000752305,0.98882325,0.001667555,0.988504288,0.00171418,0.989668102,0.001689289,0.985149223,0.000810457,0.984384086,0.000860262,0.986277053,0.000873386,0.983312186,0.000879878,0.985848989,0.000907726,0.985374007,0.001002296,0.987022238,0.001063768,0.986393316,0.001203392,0.985816287,0.00128839,0.989181988,0.00144642,0.986395573,0.00162216,0.987802923,0.001738485,0.980792901,0.001894802,0.983382398,0.002139113
